Animals & Nature,animal-mammal,🐶,Dog Face
Food & Drink,food-prepared,🍕,Pizza
Smileys & Emotions,face,😂,Tears of Joy
Animals & Nature,sky-weather,🌈,Rainbow
Objects,musical-instrument,🎸,Guitar
Activities,sport,⚽,Soccer Ball
Animals & Nature,animal-mammal,🦁,Lion
Food & Drink,food-sweet,🍦,Soft Ice Cream
Travel & Places,transportation,🚀,Rocket
Food & Drink,food-sweet,🎂,Birthday Cake
Animals & Nature,animal-bug,🦋,Butterfly
Symbols,heart,❤️,Red Heart
Animals & Nature,animal-mammal,🐱,Cat Face
Food & Drink,food-produce,🍎,Red Apple
Travel & Places,transportation,✈️,Airplane
Activities,game,🎮,Video Game
Animals & Nature,plant-flower,🌺,Hibiscus
Activities,award-medal,🏆,Trophy
Animals & Nature,animal-amphibian,🐸,Frog
Objects,music,🎵,Musical Note
Animals & Nature,sky-weather,🌙,Crescent Moon
Food & Drink,food-produce,🍓,Strawberry
Activities,arts-crafts,🎨,Artist Palette
Travel & Places,place-geographic,🏖️,Beach with Umbrella
Objects,lock,🔏,Locked with Pen
Animals & Nature,plant-flower,🪻,Hyacinth
Objects,time,⌚,Watch
Objects,musical-instrument,🎺,Trumpet
Activities,game,🎰,Slot Machine
Travel & Places,transportation,🚉,Station
Animals & Nature,animal-bug,🦟,Mosquito
Food & Drink,food-prepared,🥡,Takeout Box
Food & Drink,drink,🍶,Sake
Objects,musical-instrument,🥁,Drum
Food & Drink,food-prepared,🍥,Fish Cake with Swirl
Smileys & Emotions,face,🤠,Cowboy Hat Face
Travel & Places,transportation,🦽,Manual Wheelchair
Activities,game,🎲,Game Die
Animals & Nature,animal-mammal,🐼,Panda
Food & Drink,food-prepared,🍛,Curry Rice
Travel & Places,transportation,🚘,Oncoming Automobile
Smileys & Emotions,face,🤨,Face with Raised Eyebrow
Animals & Nature,animal-bird,🦜,Parrot
Travel & Places,transportation,🚎,Trolleybus
Food & Drink,food-prepared,🥮,Moon Cake
Animals & Nature,animal-bird,🐦,Bird
Animals & Nature,animal-marine,🐳,Spouting Whale
Smileys & Emotions,face-costume,👽,Alien
Smileys & Emotions,face,😲,Astonished Face
Symbols,punctuation,❗,Red Exclamation Mark
Objects,stationery,📮,Postbox
Food & Drink,food-produce,🍆,Eggplant
Travel & Places,transportation,🚠,Mountain Cableway
Animals & Nature,animal-bird,🦆,Duck
People & Body,hands,👍,Thumbs Up
Symbols,arrow-av,⏏️,Eject Button
Travel & Places,place-building,🛕,Hindu Temple
Animals & Nature,animal-bug,🐝,Honeybee
Food & Drink,drink,🫖,Teapot
Symbols,religion-zodiac,♌️,Leo Sign
Food & Drink,food-prepared,🥙,Stuffed Flatbread
Animals & Nature,animal-mammal,🦥,Sloth
Animals & Nature,sky-weather,🌚,New Moon Face
Smileys & Emotions,face,😒,Unamused Face
Objects,technology,📷,Camera
Activities,game,🪆,Nesting Dolls
Objects,clothing,👠,High-Heeled Shoe
Animals & Nature,animal-reptile,🐉,Dragon
Activities,sport,🏑,Field Hockey
People & Body,person,👨,Man
Animals & Nature,plant-flower,💮,White Flower
Objects,musical-instrument,🪇,Maracas
Smileys & Emotions,cat-face,😻,Cat with Heart-Eyes
Travel & Places,place-other,🌄,Sunrise Over Mountains
Animals & Nature,animal-marine,🦑,Squid
Travel & Places,transportation,🚈,Light Rail
Symbols,alphanum,🅱️,Blood Type - B
Smileys & Emotions,face,🤣,Rolling on the Floor Laughing
People & Body,body-parts,👃,Nose
Activities,event,✨,Sparkles
Travel & Places,place-geographic,🏜️,Desert
Objects,sound,📣,Megaphone
Objects,stationery,📥,Inbox Tray
Animals & Nature,animal-mammal,🦄,Unicorn
Symbols,heart,💝,Heart with Ribbon
Objects,time,🕚,Eleven O'Clock
Objects,household,🧷,Safety Pin
People & Body,hands,👆,Backhand Index Pointing Up
Objects,tool,🛡️,Shield
Smileys & Emotions,face,😯,Hushed Face
People & Body,person-resting,🧘,Person in Lotus Position
People & Body,person-activity,🧗,Person Climbing
Food & Drink,food-prepared,🌯,Burrito
Symbols,arrow-av,🎦,Cinema
Food & Drink,food-produce,🥒,Cucumber
Animals & Nature,sky-weather,☃️,Snowman
Travel & Places,transportation,🚥,Horizontal Traffic Light
Objects,music,🎼,Musical Score
Symbols,warning,🚷,No Pedestrians
Objects,clothing,🪮,Hair Pick
Symbols,other-symbol,🔱,Trident Emblem
Symbols,geometric,🟩,Green Square
Flags,flag,🎌,Crossed Flags
Travel & Places,place-building,🏣,Japanese Post Office
People & Body,person,🥷,Ninja
Smileys & Emotions,face,🥰,Smiling Face with Hearts
Objects,technology,🔍,Magnifying Glass Tilted Left
Animals & Nature,animal-mammal,🐆,Leopard
Animals & Nature,plant-other,🌿,Herb
Symbols,alphanum,🈚,Japanese 'Free of Charge' Button
Symbols,religion-zodiac,☯️,Yin Yang
Objects,stationery,📇,Card Index
Activities,arts-crafts,🪢,Knot
Travel & Places,transportation,🚙,Sport Utility Vehicle
Objects,other-object,🪧,Placard
Smileys & Emotions,face,😡,Enraged Face
Symbols,emotion,💦,Sweat Droplets
Food & Drink,food-prepared,🥯,Bagel
People & Body,hands,👈,Index Pointing Left
Activities,sport,🥊,Boxing Glove
Objects,science,🔬,Microscope
Animals & Nature,sky-weather,🌠,Shooting Star
Symbols,arrow-av,↔️,Left-Right Arrow
Food & Drink,food-sweet,🍨,Ice Cream
Objects,clothing,🎩,Top Hat
Activities,game,🪀,Yo-Yo
Smileys & Emotions,face,😶,Face Without Mouth
Food & Drink,food-produce,🍌,Banana
Food & Drink,drink,🧃,Beverage Box
Animals & Nature,animal-bird,🪶,Feather
Animals & Nature,animal-mammal,🦇,Bat
Symbols,transport-sign,🚻,Restroom
People & Body,person,🫃,Pregnant Man
Travel & Places,transportation,🛹,Skateboard
Objects,office,📐,Triangular Ruler
Activities,event,🎉,Party Popper
People & Body,person-fantasy,🎅,Santa Claus
People & Body,person-activity,🤾,Person Playing Handball
Objects,tool,⛓️,Chains
Objects,household,🛁,Bathtub
Smileys & Emotions,face,😋,Savoring Food
Objects,technology,🔦,Flashlight
Objects,stationery,📫,Closed Mailbox with Raised Flag
Symbols,alphanum,🔤,Input Latin Letters
Travel & Places,place-building,🧱,Brick
Objects,writing,🖍️,Crayon
People & Body,body-parts,👂,Ear
Food & Drink,food-prepared,🥗,Green Salad
Travel & Places,place-other,🌅,Sunrise
People & Body,hands,🫳,Palm Down Hand
Animals & Nature,animal-marine,🐚,Spiral Shell
Animals & Nature,sky-weather,🌔,Waxing Gibbous Moon
Objects,clothing,👓,Glasses
Symbols,heart,💜,Purple Heart
Animals & Nature,animal-mammal,🐨,Koala
Animals & Nature,animal-bug,🦠,Microbe
Travel & Places,transportation,🛰️,Satellite
Symbols,arrow-av,⬆️,Up Arrow
Smileys & Emotions,face,🥵,Hot Face
Objects,time,🕗,Eight O'Clock
Symbols,religion-zodiac,✝️,Latin Cross
Objects,money,🧾,Receipt
People & Body,person,🤵,Person in Tuxedo
Food & Drink,food-produce,🥔,Potato
Smileys & Emotions,face,😬,Grimacing Face
Activities,sport,🏓,Ping Pong
Objects,stationery,📁,File Folder
Symbols,geometric,🟪,Purple Square
Travel & Places,transportation,🛴,Kick Scooter
Animals & Nature,animal-mammal,🐮,Cow Face
Food & Drink,food-prepared,🧈,Butter
Symbols,alphanum,🉐,Japanese 'Bargain' Button
Animals & Nature,plant-other,🪺,Nest with Eggs
Objects,clothing,🎒,Backpack
Animals & Nature,sky-weather,🌞,Sun with Face
Objects,technology,📱,Mobile Phone
Smileys & Emotions,face,😢,Crying Face
Symbols,other-symbol,❌,Cross Mark
Travel & Places,place-building,⛪,Church
People & Body,hands,🤚,Raised Back of Hand
Symbols,arrow-av,▶️,Play Button
People & Body,person-activity,🚴,Person Biking
Objects,tool,🪝,Hook
Activities,game,♠️,Spade Suit
Objects,lock,🔑,Key
Objects,household,🧼,Soap
Smileys & Emotions,face,😖,Confounded Face
Travel & Places,transportation,🛣️,Motorway
Activities,event,🎇,Sparkler
People & Body,person,👷,Construction Worker
Animals & Nature,animal-mammal,🐐,Goat
Food & Drink,drink,🧋,Bubble Tea
Animals & Nature,plant-flower,💐,Bouquet
Objects,stationery,📰,Newspaper
Animals & Nature,animal-bird,🦤,Dodo
Objects,musical-instrument,🪈,Flute
Food & Drink,food-produce,🥦,Broccoli
Food & Drink,food-prepared,🍝,Spaghetti
Smileys & Emotions,face,🫪,Distorted Face
Travel & Places,place-map,🌎,Globe Showing Americas
Objects,clothing,👡,Woman's Sandal
People & Body,person-symbol,👪,Family
Animals & Nature,sky-weather,🌒,Waxing Crescent Moon
Food & Drink,dishware,🥢,Chopsticks
Symbols,religion-zodiac,🕉️,Om
People & Body,hands,🖖,Vulcan Salute
Symbols,alphanum,🆒,COOL Button
Smileys & Emotions,face-costume,💩,Pile of Poo
Travel & Places,transportation,🚜,Tractor
Objects,science,⚗️,Alembic
People & Body,body-parts,🦶,Foot
Symbols,warning,🔞,No One Under Eighteen
Symbols,heart,🧡,Orange Heart
Smileys & Emotions,cat-face,😿,Crying Cat
Symbols,arrow-av,🔽,Downwards Button
Symbols,emotion,🗯️,Anger Bubble
Objects,technology,🔎,Magnifying Glass Tilted Right
Smileys & Emotions,face,🫨,Shaking Face
Animals & Nature,animal-mammal,🫎,Moose
Activities,sport,🎾,Tennis
Symbols,transport-sign,🚰,Potable Water
People & Body,person,🙇,Person Bowing
Travel & Places,place-other,⛲,Fountain
Travel & Places,place-geographic,🏝️,Desert Island
Animals & Nature,animal-marine,🪼,Jellyfish
Travel & Places,place-building,🏬,Department Store
Objects,sound,🔔,Bell
Symbols,geometric,🔴,Red Circle
Objects,stationery,📊,Bar Chart
Objects,time,⏰,Alarm Clock
Smileys & Emotions,face,🤯,Exploding Head
Food & Drink,food-sweet,🍮,Custard
Animals & Nature,animal-reptile,🐊,Crocodile
Travel & Places,transportation,🛺,Auto Rickshaw
Activities,award-medal,🏅,Sports Medal
Food & Drink,food-prepared,🫕,Fondue
Objects,clothing,💍,Ring
People & Body,person-activity,🤼,People Wrestling
Animals & Nature,sky-weather,🌑,New Moon
People & Body,person-fantasy,🦹,Supervillain
Smileys & Emotions,face-negative,💀,Skull
Food & Drink,food-produce,🫑,Bell Pepper
Animals & Nature,animal-mammal,🦒,Giraffe
Objects,tool,🗡️,Dagger
People & Body,hands,🤟,Love-You Gesture
Symbols,alphanum,🈺,Japanese 'Open for Business' Button
Objects,household,🧯,Fire Extinguisher
Smileys & Emotions,face,🥸,Disguised Face
Animals & Nature,animal-bug,🕸️,Spider Web
Animals & Nature,plant-other,🌳,Deciduous Tree
Symbols,arrow-av,↗️,Up-Right Arrow
Activities,event,🎆,Fireworks
Travel & Places,transportation,⛴️,Ferry
Activities,game,🪩,Mirror Ball
Objects,office,🗄️,File Cabinet
People & Body,person,👱,Person with Blond Hair
Objects,technology,🖨️,Printer
Smileys & Emotions,face,😦,Frowning Face with Open Mouth
Symbols,religion-zodiac,♎️,Libra Sign
Objects,music,🎙️,Studio Microphone
Food & Drink,food-prepared,🍿,Popcorn
Symbols,other-symbol,✳️,Eight-Spoked Asterisk
Objects,clothing,🕶️,Sunglasses
Animals & Nature,animal-mammal,🦣,Mammoth
Food & Drink,drink,🍹,Tropical Drink
Animals & Nature,sky-weather,❄️,Snowflake
Travel & Places,place-building,🏟️,Stadium
Activities,sport,🎿,Skis
Smileys & Emotions,face,🤔,Thinking Face
Travel & Places,transportation,🚡,Aerial Tramway
Animals & Nature,animal-bird,🐧,Penguin
People & Body,hands,🙌,Raising Hands
Symbols,alphanum,🔠,Input Latin Uppercase
Food & Drink,food-produce,🍑,Peach
Objects,money,💳,Credit Card
Objects,other-object,⚰️,Coffin
People & Body,family,👬,Men Holding Hands
Symbols,arrow-av,➡️,Right Arrow
Symbols,heart,💚,Green Heart
People & Body,person-activity,💃,Woman Dancing
Smileys & Emotions,face,🤒,Face with Thermometer
People & Body,body-parts,🫀,Anatomical Heart
Animals & Nature,animal-mammal,🐭,Mouse Face
People & Body,person,🤰,Pregnant Woman
Food & Drink,food-prepared,🍞,Bread
Objects,tool,🪜,Ladder
Objects,stationery,📕,Closed Book
Travel & Places,transportation,🚤,Speedboat
Objects,technology,📹,Video Camera
Animals & Nature,sky-weather,🌓,First Quarter Moon
Objects,clothing,👚,Woman's Clothes
Symbols,geometric,🟠,Orange Circle
Objects,stationery,📂,Open File Folder
Smileys & Emotions,face,😙,Kissing Face with Smiling Eyes
Objects,household,🚿,Shower
